model_id,model,data,features,seq_len,label_len,pred_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,embed,distil,des,class_strategy,iteration,mse,mae
ETTh1_Dynamic_96_96,EMAformerDynamic,ETTh1,M,96,48,96,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.3863406777381897,0.4001886546611786
ETTh1_Dynamic_96_192,EMAformerDynamic,ETTh1,M,96,48,192,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.46198874711990356,0.4445168375968933
ETTh1_Dynamic_96_336,EMAformerDynamic,ETTh1,M,96,48,336,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.5039795637130737,0.46676966547966003
ETTh1_Dynamic_96_720,EMAformerDynamic,ETTh1,M,96,48,720,256,4,2,1,256,1,timeF,True,Exp,projection,0,0.544026255607605,0.516372799873352
ETTh1_96_96,EMAformer,ETTh1,M,96,48,96,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.37533923983573914,0.3900984823703766
ETTh1_96_192,EMAformer,ETTh1,M,96,48,192,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.4284679889678955,0.4193999767303467
ETTh1_96_336,EMAformer,ETTh1,M,96,48,336,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.4676045775413513,0.4383690059185028
ETTh1_96_720,EMAformer,ETTh1,M,96,48,720,256,4,2,1,256,1,timeF,True,Exp,projection,0,0.4530723989009857,0.4485461413860321
ETTh1_Dynamic_96_24,EMAformerDynamic,ETTh1,M,96,48,24,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.29482775926589966,0.34614261984825134
ETTh1_Dynamic_96_48,EMAformerDynamic,ETTh1,M,96,48,48,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.33219587802886963,0.36852559447288513
ETTh1_Dynamic_96_72,EMAformerDynamic,ETTh1,M,96,48,72,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.36182841658592224,0.3865083158016205
ETTh1_Dynamic_96_96,EMAformerDynamic,ETTh1,M,96,48,96,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.3863406777381897,0.4001886546611786
ETTh1_96_24,EMAformer,ETTh1,M,96,48,24,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.2903116047382355,0.34041276574134827
ETTh1_96_48,EMAformer,ETTh1,M,96,48,48,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.3312944173812866,0.3647087812423706
ETTh1_96_72,EMAformer,ETTh1,M,96,48,72,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.35710570216178894,0.37996968626976013
ETTh1_96_96,EMAformer,ETTh1,M,96,48,96,256,4,3,1,256,1,timeF,True,Exp,projection,0,0.37533923983573914,0.3900984823703766
